Social Behaviour,ConflictResolution,MoralAlignment,Intelligence,Ambition,Loyalty,Leadership,RiskTaker,SenseOfHumor,Curiosity,Adaptibility,Cunning,Patience,House
['Extrovert'],['Confrontational'],['Idealist'],7.16,7.04,9.34,9.08,9.52,7.09,5.28,8.67,4.63,4.89,Gryffindor
['Introvert'],['Mediator'],['Opportunist'],5.01,9.37,4.33,7.95,8.21,3.46,7.62,8.1,9.88,6.99,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.84,4.01,7.84,5.21,5.74,4.85,8.99,7.62,6.82,7.45,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.07,5.79,9.9,4.69,1.57,7.27,4.19,6.93,2.4,9.95,Hufflepuff
['Introvert'],['Mediator'],['Idealist'],9.62,7.13,9.61,6.98,9.29,7.25,7.4,8.82,5.07,5.31,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.46,9.07,5.9,9.59,8.14,5.79,7.11,8.14,9.75,6.53,Slytherin
['Introvert'],['Mediator'],['Realist'],8.14,4.63,6.15,5.31,5.45,6.76,9.35,8.78,5.47,7.81,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.34,4.17,9.77,4.3,4.51,6.41,6.33,8.78,3.32,9.35,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.97,9.97,8.48,7.98,9.81,7.91,7.6,6.75,4.05,4.28,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.54,9.08,8.68,9.54,7.27,5.01,6.67,8.73,8.21,6.62,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.65,3.28,5.36,5.26,5.12,7.93,8.78,8.65,5.31,7.98,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],0.29,1.04,9.25,1.32,2.09,6.21,4.94,8.28,2.11,9.31,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.87,8.87,8.69,9.57,8.23,7.15,5.84,6.68,4.65,4.01,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.63,9.09,6.6,9.29,7.65,5.0,8.25,9.13,8.06,6.85,Slytherin
['Introvert'],['Mediator'],['Realist'],9.49,6.41,5.69,4.29,5.77,7.61,9.59,7.59,6.27,7.27,Ravenclaw
['Extrovert'],['Confrontational'],['Idealist'],4.14,4.25,9.6,4.41,0.19,7.71,4.69,6.37,2.93,9.86,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.96,8.43,9.49,9.06,9.62,8.25,5.0,6.23,5.25,4.83,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.86,9.81,6.34,8.8,9.51,5.45,6.17,9.97,9.24,6.04,Slytherin
['Introvert'],['Confrontational'],['Realist'],9.62,4.06,9.31,3.94,4.09,7.86,9.62,7.22,5.37,7.52,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.83,0.69,8.96,2.94,5.67,7.21,6.53,8.0,3.17,9.3,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.94,9.3,6.43,9.61,8.44,7.78,6.1,6.21,4.51,5.53,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.5,9.51,9.57,8.5,7.88,4.68,8.98,8.53,8.94,6.04,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.23,3.75,9.6,5.91,5.38,4.24,9.79,7.26,5.47,7.72,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],4.33,5.55,8.21,2.23,1.22,8.74,5.09,7.33,2.62,9.14,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.76,8.49,6.1,8.41,7.03,7.09,7.2,7.01,5.95,5.17,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.19,9.4,2.16,9.11,9.97,4.49,6.82,8.07,9.53,7.76,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.11,7.66,9.45,4.64,3.16,4.08,8.01,7.04,6.17,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.11,4.28,9.48,5.79,5.71,8.6,6.61,8.96,3.43,9.69,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],7.87,8.31,8.48,9.03,9.06,9.08,7.68,8.63,4.62,4.41,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],5.22,9.52,3.59,9.82,9.64,4.67,8.61,9.78,9.05,6.8,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.29,7.94,5.97,4.82,3.99,7.76,9.99,8.53,5.59,7.94,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.97,5.58,9.16,4.67,1.88,6.02,4.29,5.88,3.63,9.3,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.11,8.12,8.08,9.92,8.69,9.19,5.99,8.89,5.01,4.95,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.36,9.12,0.34,9.62,9.53,4.64,7.74,8.32,9.62,7.46,Slytherin
['Extrovert'],['Avoidant'],['Realist'],8.79,6.14,9.6,5.16,4.78,4.34,9.49,8.99,5.87,7.4,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.62,6.35,8.55,3.69,0.64,7.88,6.11,5.76,2.29,9.6,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.37,7.02,9.4,9.47,7.96,7.83,5.61,7.82,5.77,4.5,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.32,9.78,7.56,9.38,9.2,5.25,8.1,9.5,8.32,7.02,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.27,4.5,6.8,5.83,3.46,5.75,8.11,8.65,6.47,7.84,Ravenclaw
['Ambivert'],['Mediator'],['Opportunist'],3.69,2.72,9.05,1.76,5.8,7.8,4.55,5.28,3.33,9.38,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.93,7.89,6.13,8.4,8.06,8.71,5.92,8.86,4.6,4.53,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.16,9.97,6.1,9.61,9.44,5.15,7.06,8.06,9.19,6.07,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.37,3.38,7.64,4.63,4.2,6.33,8.82,8.61,6.26,7.88,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.65,6.0,9.34,2.04,1.97,6.37,4.67,7.98,3.6,9.38,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.02,7.34,7.11,6.12,8.73,8.59,6.3,8.96,5.79,4.67,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],8.55,9.2,1.09,8.99,8.9,4.2,6.29,8.98,8.37,7.9,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.39,4.33,5.71,4.27,4.12,5.83,8.47,8.18,6.36,7.43,Ravenclaw
['Introvert'],['Mediator'],['Opportunist'],5.12,4.69,9.53,3.65,0.3,8.62,5.99,8.2,2.94,9.66,Hufflepuff
['Extrovert'],['Confrontational'],['Realist'],5.59,8.17,8.26,9.92,7.72,8.93,7.33,7.99,4.47,4.12,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.39,9.83,8.5,9.4,8.41,5.64,7.45,9.25,9.54,6.04,Slytherin
['Introvert'],['Avoidant'],['Realist'],9.35,6.93,6.87,5.29,4.5,5.44,8.78,7.37,5.9,7.33,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],5.06,3.38,8.18,1.16,3.48,8.3,4.9,6.07,2.41,9.79,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.13,7.92,9.85,5.5,8.68,7.39,5.57,8.12,4.54,5.8,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.23,9.97,2.74,7.51,8.58,5.72,6.76,8.92,8.47,7.79,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.77,7.26,5.51,5.75,5.11,7.05,8.06,7.48,5.62,7.37,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],2.89,1.13,9.95,2.78,4.76,6.2,5.62,7.08,3.56,9.73,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.28,7.07,8.02,8.91,8.36,7.42,7.07,6.53,4.11,4.19,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],7.77,9.33,6.0,8.1,8.22,4.91,8.57,8.16,9.89,7.49,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.51,5.02,6.92,4.55,5.27,6.46,9.85,7.95,6.34,7.28,Ravenclaw
['Ambivert'],['Mediator'],['Idealist'],1.98,0.0,8.46,0.32,4.32,8.59,4.41,5.17,2.1,9.5,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],9.9,8.35,8.08,9.63,9.83,7.65,5.55,6.34,4.88,4.63,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],6.14,9.97,7.74,7.3,7.6,4.0,8.97,8.31,9.84,6.35,Slytherin
['Introvert'],['Avoidant'],['Realist'],8.96,6.13,8.44,5.16,4.57,5.19,9.71,8.65,6.55,7.99,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],4.09,4.45,8.64,1.98,0.22,7.94,6.26,6.89,2.58,9.13,Hufflepuff
['Extrovert'],['Confrontational'],['Idealist'],8.94,9.11,9.13,5.4,9.83,8.91,7.69,7.8,5.04,4.35,Gryffindor
['Ambivert'],['Mediator'],['Opportunist'],9.1,9.06,4.2,9.22,9.77,5.15,8.99,8.75,9.55,7.46,Slytherin
['Introvert'],['Mediator'],['Realist'],8.52,5.4,6.45,4.0,4.87,5.44,8.43,8.13,5.15,7.95,Ravenclaw
['Ambivert'],['Mediator'],['Realist'],3.68,4.89,9.01,0.77,3.2,6.26,4.12,8.75,2.11,9.45,Hufflepuff
